CG1CG1CG1,CG1,CG1,0.5
CG1CG1CG2,CG1,CG2,0.5
CG1CG1MC8,CG1,MC8,0.5
CG1CG1MC5,CG1,MC5,0.5
CG1CG1H7,CG1,H7,0.5
CG1CG1CG6,CG1,CG6,0.5
CG1CG1MC11,CG1,MC11,0.5
CG10CG10U4,CG10,U4,0.5
CG10CG10CG10,CG10,CG10,0.5
CG10CG10U15,CG10,U15,0.5
CG10CG10AU4,CG10a,U4,0.5
CG10CG10ACG10,CG10a,CG10,0.5
CG10CG10AU15,CG10a,U15,0.5
CG10CG10BU4,CG10b,U4,0.5
CG10CG10BCG10,CG10b,CG10,0.5
CG10CG10BU15,CG10b,U15,0.5
CG10CG10CU4,CG10c,U4,0.5
CG10CG10CCG10,CG10c,CG10,0.5
CG10CG10CU15,CG10c,U15,0.5
CG11CG11CG11,CG11,CG11,0.5
CG11CG11CG10,CG11,CG10,0.5
CG11CG11CG12,CG11,CG12,0.5
CG11CG11ACG11,CG11a,CG11,0.5
CG11CG11ACG10,CG11a,CG10,0.5
CG11CG11ACG12,CG11a,CG12,0.5
CG11CG11BCG11,CG11b,CG11,0.5
CG11CG11BCG10,CG11b,CG10,0.5
CG11CG11BCG12,CG11b,CG12,0.5
CG12CG12U14,CG12,U14,0.5
CG12CG12U13,CG12,U13,0.5
CG12CG12U5,CG12,U5,0.5
CG12CG12U6,CG12,U6,0.5
CG12CG12CG12,CG12,CG12,0.5
CG12CG12U15,CG12,U15,0.5
CG12CG12CG11,CG12,CG11,0.5
CG12CG12CG10,CG12,CG10,0.5
CG12CG12CG14,CG12,CG14,0.5
CG13CG13CG13,CG13,CG13,0.5
CG13CG13H7,CG13,H7,0.5
CG13CG13MC5,CG13,MC5,0.5
CG13CG13CG10,CG13,CG10,0.5
CG13CG13MC10,CG13,MC10,0.5
CG13CG13CG11,CG13,CG11,0.5
CG13CG13CG9,CG13,CG9,0.5
CG13CG13ACG13,CG13a,CG13,0.5
CG13CG13AH7,CG13a,H7,0.5
CG13CG13AMC5,CG13a,MC5,0.5
CG13CG13ACG10,CG13a,CG10,0.5
CG13CG13AMC10,CG13a,MC10,0.5
CG13CG13ACG11,CG13a,CG11,0.5
CG13CG13ACG9,CG13a,CG9,0.5
CG13CG13BCG13,CG13b,CG13,0.5
CG13CG13BH7,CG13b,H7,0.5
CG13CG13BMC5,CG13b,MC5,0.5
CG13CG13BCG10,CG13b,CG10,0.5
CG13CG13BMC10,CG13b,MC10,0.5
CG13CG13BCG11,CG13b,CG11,0.5
CG13CG13BCG9,CG13b,CG9,0.5
CG14CG14CG14,CG14,CG14,0.5
CG14CG14CG12,CG14,CG12,0.5
CG14CG14CG11,CG14,CG11,0.5
CG14CG14CG10,CG14,CG10,0.5
CG14CG14U5,CG14,U5,0.5
CG14CG14U6,CG14,U6,0.5
CG14CG14U13,CG14,U13,0.5
CG1CG1ACG1,CG1a,CG1,0.5
CG1CG1ACG2,CG1a,CG2,0.5
CG1CG1AMC8,CG1a,MC8,0.5
CG1CG1AMC5,CG1a,MC5,0.5
CG1CG1AH7,CG1a,H7,0.5
CG1CG1ACG6,CG1a,CG6,0.5
CG1CG1AMC11,CG1a,MC11,0.5
CG1CG1BCG1,CG1b,CG1,0.5
CG1CG1BCG2,CG1b,CG2,0.5
CG1CG1BMC8,CG1b,MC8,0.5
CG1CG1BMC5,CG1b,MC5,0.5
CG1CG1BH7,CG1b,H7,0.5
CG1CG1BCG6,CG1b,CG6,0.5
CG1CG1BMC11,CG1b,MC11,0.5
CG1CG1CCG1,CG1c,CG1,0.5
CG1CG1CCG2,CG1c,CG2,0.5
CG1CG1CMC8,CG1c,MC8,0.5
CG1CG1CMC5,CG1c,MC5,0.5
CG1CG1CH7,CG1c,H7,0.5
CG1CG1CCG6,CG1c,CG6,0.5
CG1CG1CMC11,CG1c,MC11,0.5
CG1CG1DCG1,CG1d,CG1,0.5
CG1CG1DCG2,CG1d,CG2,0.5
CG1CG1DMC8,CG1d,MC8,0.5
CG1CG1DMC5,CG1d,MC5,0.5
CG1CG1DH7,CG1d,H7,0.5
CG1CG1DCG6,CG1d,CG6,0.5
CG1CG1DMC11,CG1d,MC11,0.5
CG1CG1ECG1,CG1e,CG1,0.5
CG1CG1ECG2,CG1e,CG2,0.5
CG1CG1EMC8,CG1e,MC8,0.5
CG1CG1EMC5,CG1e,MC5,0.5
CG1CG1EH7,CG1e,H7,0.5
CG1CG1ECG6,CG1e,CG6,0.5
CG1CG1EMC11,CG1e,MC11,0.5
CG1CG1FCG1,CG1f,CG1,0.5
CG1CG1FCG2,CG1f,CG2,0.5
CG1CG1FMC8,CG1f,MC8,0.5
CG1CG1FMC5,CG1f,MC5,0.5
CG1CG1FH7,CG1f,H7,0.5
CG1CG1FCG6,CG1f,CG6,0.5
CG1CG1FMC11,CG1f,MC11,0.5
CG2CG2CG2,CG2,CG2,0.5
CG2CG2CG1,CG2,CG1,0.5
CG2CG2CG7,CG2,CG7,0.5
CG2CG2MC11,CG2,MC11,0.5
